pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
114.3,-154.94,0.0,top,BJ1,,Jack,~,tht,True
91.44,-153.67,180.0,top,C1,,Capacitor,~,tht,True
128.27,-152.4,180.0,top,CB1,,Capacitor Big,~,tht,True
125.81,-124.46,0.0,top,D5,,D_DO-35_SOD27_P7.62mm_Horizontal,BAV17,tht,True
162.56,-133.35,0.0,top,H1,,Via,~,tht,True
162.56,-147.32,0.0,top,H2,,Via,~,tht,True
73.66,-132.08,0.0,top,H3,,Via,~,tht,True
73.66,-146.05,0.0,top,H4,,Via,~,tht,True
82.55,-153.67,90.0,top,LED1,,LED,~,tht,True
100.33,-153.67,90.0,top,LED2,,LED,~,tht,True
144.78,-154.94,0.0,top,LED3,,LED,~,tht,True
111.76,-128.27,90.0,top,NE1,,NE556,~,tht,True
82.55,-143.51,90.0,top,R1,,Resistor,~,tht,True
91.44,-126.92,90.0,top,R2,,Resistor,~,tht,True
91.44,-143.51,90.0,top,R3,,Resistor,~,tht,True
100.33,-143.51,90.0,top,R4,,Resistor,~,tht,True
132.08,-140.97,0.0,top,R5,,Resistor,~,tht,True
137.16,-149.86,90.0,top,R6,,Resistor,~,tht,True
130.89,-130.81,180.0,top,R7,,Resistor,~,tht,True
157.4,-154.94,0.0,top,R8,,Resistor,~,tht,True
76.2,-121.92,0.0,top,SW1,,Switch,~,tht,True
137.16,-137.16,0.0,top,TR1,,Transistor,~,tht,True
144.205,-132.08,-90.0,top,TRB1,,Transistor Big,~,tht,True
118.11,-142.97,90.0,top,VR1,,Variable Resistor,~,tht,True
